"No.","Time","Source","Destination","Protocol","Info"
"1","0.000000","","","CDP","Device ID: PE11  Port ID: Serial0/0.101  "
"2","0.000143","","","CDP","Device ID: PE11  Port ID: Serial0/0.102  "
"3","0.000192","","","CDP","Device ID: PE11  Port ID: Serial0/0.111  "
"4","0.099589","","","CDP","Device ID: PE11  Port ID: Serial0/0.113  "
"5","0.324487","192.168.1.50","192.168.1.49","EIGRP","Update"
"6","0.325615","192.168.1.49","192.168.1.50","EIGRP","Update"
"7","0.334765","192.168.1.81","192.168.1.17","TCP","47861 > ldp [SYN] Seq=0 Win=4128 Len=0 MSS=536"
"8","0.340095","192.168.1.50","192.168.1.49","EIGRP","Update"
"9","0.342759","192.168.1.49","192.168.1.50","EIGRP","Update"
"10","0.343429","192.168.1.50","192.168.1.49","EIGRP","Acknowledge"
"11","0.378252","192.168.1.50","192.168.1.49","EIGRP","Update"
"12","0.378672","192.168.1.50","224.0.0.2","LDP","Hello Message "
"13","0.382202","192.168.1.49","192.168.1.50","EIGRP","Acknowledge"
"14","0.414242","192.168.1.50","192.168.1.49","EIGRP","Update"
"15","0.416413","192.168.1.49","192.168.1.50","EIGRP","Acknowledge"
"16","0.486855","192.168.1.50","192.168.1.49","EIGRP","Update"
"17","0.494469","192.168.1.49","192.168.1.50","EIGRP","Acknowledge"
"18","1.779948","192.168.1.50","224.0.0.2","LDP","Hello Message "
"19","2.327675","192.168.1.49","224.0.0.2","LDP","Hello Message "
"20","2.332383","192.168.1.81","192.168.1.17","TCP","47861 > ldp [SYN] Seq=0 Win=4128 Len=0 MSS=536"
"21","2.333927","192.168.1.17","192.168.1.81","TCP","ldp > 47861 [SYN, ACK] Seq=0 Ack=1 Win=4128 Len=0 MSS=536"
"22","2.334828","192.168.1.81","192.168.1.17","TCP","47861 > ldp [ACK] Seq=1 Ack=1 Win=4128 Len=0"
"23","2.366370","192.168.1.81","192.168.1.17","LDP","Initialization Message "
"24","2.374307","192.168.1.17","192.168.1.81","TCP","ldp > 47861 [ACK] Seq=1 Ack=37 Win=4092 Len=0"
"25","2.376230","192.168.1.17","192.168.1.81","LDP","Initialization Message Keep Alive Message "
"26","2.407367","192.168.1.81","192.168.1.17","TCP","47861 > ldp [ACK] Seq=37 Ack=45 Win=4084 Len=0"
"27","2.408682","192.168.1.81","192.168.1.17","LDP","Keep Alive Message "
"28","2.414184","192.168.1.17","192.168.1.81","TCP","ldp > 47861 [ACK] Seq=45 Ack=55 Win=4074 Len=0"
"29","2.417671","192.168.1.17","192.168.1.81","LDP","Address Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message "
"30","2.449272","192.168.1.81","192.168.1.17","TCP","47861 > ldp [ACK] Seq=55 Ack=273 Win=3856 Len=0"
"31","2.449321","192.168.1.81","192.168.1.17","LDP","Address Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message Label Mapping Message "
"32","2.451405","192.168.1.17","192.168.1.81","TCP","ldp > 47861 [ACK] Seq=273 Ack=287 Win=3842 Len=0"
"33","2.669819","192.168.1.50","224.0.0.10","EIGRP","Hello"
"34","2.831586","","","LMI","Status Enquiry"
"35","2.933619","192.168.1.49","224.0.0.10","EIGRP","Hello"
"36","6.136611","150.1.11.17","224.0.0.5","OSPF","Hello Packet"
"37","6.533794","192.168.1.49","224.0.0.2","LDP","Hello Message "
